Savings,Cluster
5417.661426,Cluster 0
9258.992965,Cluster 0
7346.334504,Cluster 0
3535.514352,Cluster 0
6878.884249,Cluster 0
14783.37909,Cluster 0
17879.55891,Cluster 0
16009.23776,Cluster 0
16398.40133,Cluster 0
13621.63973,Cluster 0
8022.208541,Cluster 0
13709.67027,Cluster 0
7780.589914,Cluster 0
17866.8336,Cluster 0
14324.55598,Cluster 0
13809.73409,Cluster 0
5168.225475,Cluster 0
16215.39908,Cluster 0
5706.149573,Cluster 0
4128.044796,Cluster 0
8376.749478,Cluster 0
17258.57497,Cluster 0
7467.036702,Cluster 0
6932.487932,Cluster 0
7151.650866,Cluster 0
7762.255067,Cluster 0
14911.8684,Cluster 0
5103.60923,Cluster 0
16816.9119,Cluster 0
7283.504773,Cluster 0
16741.01389,Cluster 0
7263.242448,Cluster 0
5603.121028,Cluster 0
6845.056822,Cluster 0
7413.784487,Cluster 0
5256.43456,Cluster 0
15607.56154,Cluster 0
3005.577482,Cluster 0
6484.630738,Cluster 0
17815.34841,Cluster 0
15978.33284,Cluster 0
5011.112062,Cluster 0
7500.452414,Cluster 0
15026.26215,Cluster 0
18205.33626,Cluster 0
15866.91394,Cluster 0
16620.01047,Cluster 0
16870.672,Cluster 0
17705.99239,Cluster 0
5074.121212,Cluster 0
7708.112609,Cluster 0
5781.658047,Cluster 0
3697.513645,Cluster 0
3270.150434,Cluster 0
7464.163257,Cluster 0
16517.20875,Cluster 0
13993.24402,Cluster 0
6773.04909,Cluster 0
15774.69061,Cluster 0
6300.843757,Cluster 0
2494.556274,Cluster 0
10547.77537,Cluster 0
16840.57058,Cluster 0
7240.759687,Cluster 0
15422.0558,Cluster 0
13541.80177,Cluster 0
8777.496177,Cluster 0
7175.090219,Cluster 0
4879.334873,Cluster 0
1617.2257,Cluster 0
16798.88611,Cluster 0
3942.389134,Cluster 0
15048.89961,Cluster 0
6277.675151,Cluster 0
6509.411506,Cluster 0
15235.44546,Cluster 0
14942.56072,Cluster 0
4420.07271,Cluster 0
4698.294711,Cluster 0
14975.38424,Cluster 0
13556.93588,Cluster 0
13873.50757,Cluster 0
14798.86815,Cluster 0
6584.654681,Cluster 0
15315.0285,Cluster 0
15139.40314,Cluster 0
5037.899139,Cluster 0
14874.55799,Cluster 0
14152.67169,Cluster 0
5504.385544,Cluster 0
14339.65292,Cluster 0
5495.165732,Cluster 0
17954.09506,Cluster 0
14981.4022,Cluster 0
16148.37045,Cluster 0
16200.01301,Cluster 0
14177.51332,Cluster 0
7002.976554,Cluster 0
6142.201619,Cluster 0
7533.673609,Cluster 0
15130.59523,Cluster 0
8557.860126,Cluster 0
14209.9328,Cluster 0
6387.219694,Cluster 0
2961.716874,Cluster 0
15816.10192,Cluster 0
2913.368147,Cluster 0
7557.937594,Cluster 0
16719.81588,Cluster 0
5154.330635,Cluster 0
7270.419534,Cluster 0
5349.065447,Cluster 0
5495.642138,Cluster 0
6988.197368,Cluster 0
13585.77862,Cluster 0
7070.967007,Cluster 0
6701.527665,Cluster 0
13669.11063,Cluster 0
15990.49413,Cluster 0
6159.662936,Cluster 0
16281.83227,Cluster 0
14803.15327,Cluster 0
14863.23359,Cluster 0
6756.749073,Cluster 0
17096.39151,Cluster 0
7255.903114,Cluster 0
15520.53631,Cluster 0
15510.11298,Cluster 0
6205.66265,Cluster 0
15345.65812,Cluster 0
16450.00327,Cluster 0
5772.117136,Cluster 0
15901.23897,Cluster 0
7028.67551,Cluster 0
17736.9426,Cluster 0
8777.077472,Cluster 0
14634.43069,Cluster 0
8995.180088,Cluster 0
16694.70684,Cluster 0
6961.204192,Cluster 0
5417.237294,Cluster 0
17971.19364,Cluster 0
17303.95719,Cluster 0
6518.283468,Cluster 0
6852.554867,Cluster 0
14352.64377,Cluster 0
2963.637708,Cluster 0
15420.62564,Cluster 0
7670.690966,Cluster 0
6740.765182,Cluster 0
17532.16478,Cluster 0
17406.07402,Cluster 0
6595.72601,Cluster 0
9456.876963,Cluster 0
7821.447804,Cluster 0
16799.44427,Cluster 0
610.4462191,Cluster 0
14337.28833,Cluster 0
16023.44566,Cluster 0
15612.62855,Cluster 0
16252.88305,Cluster 0
15631.83677,Cluster 0
6132.898205,Cluster 0
16353.47179,Cluster 0
7180.713788,Cluster 0
3731.339761,Cluster 0
7166.858605,Cluster 0
18126.57745,Cluster 0
17194.82802,Cluster 0
15628.95708,Cluster 0
13470.97061,Cluster 0
8354.196508,Cluster 0
14619.35428,Cluster 0
4102.065425,Cluster 0
16626.22236,Cluster 0
6652.391024,Cluster 0
17968.55393,Cluster 0
17093.06996,Cluster 0
15012.85301,Cluster 0
3297.058844,Cluster 0
13791.03576,Cluster 0
5815.660096,Cluster 0
7468.85108,Cluster 0
16918.90346,Cluster 0
5852.326243,Cluster 0
5006.528691,Cluster 0
17287.90702,Cluster 0
5446.557473,Cluster 0
16867.13082,Cluster 0
6904.318224,Cluster 0
15286.76934,Cluster 0
4792.426581,Cluster 0
7387.835438,Cluster 0
6420.944071,Cluster 0
6101.372147,Cluster 0
12554.69274,Cluster 0
6190.864083,Cluster 0
15648.65667,Cluster 0
18207.3617,Cluster 0
4573.606346,Cluster 0
5349.821182,Cluster 0
3016.820643,Cluster 0
16262.62379,Cluster 0
5783.846928,Cluster 0
13641.00954,Cluster 0
16251.75945,Cluster 0
13832.37937,Cluster 0
6457.790641,Cluster 0
6135.308197,Cluster 0
15391.95219,Cluster 0
7837.23362,Cluster 0
5563.906949,Cluster 0
20000,Cluster 0
6225.376082,Cluster 0
14558.05454,Cluster 0
4352.699305,Cluster 0
5889.831167,Cluster 0
14479.37412,Cluster 0
9288.189786,Cluster 0
17886.53737,Cluster 0
14424.098,Cluster 0
6702.951926,Cluster 0
17631.56888,Cluster 0
6129.288986,Cluster 0
6529.58631,Cluster 0
14935.14481,Cluster 0
12869.76107,Cluster 0
14773.40721,Cluster 0
13104.96276,Cluster 0
15086.70112,Cluster 0
17465.85629,Cluster 0
5138.109569,Cluster 0
15300.45379,Cluster 0
6799.625272,Cluster 0
15628.79165,Cluster 0
18475.48747,Cluster 0
15721.86284,Cluster 0
7924.641138,Cluster 0
12702.84739,Cluster 0
7285.180437,Cluster 0
15370.66883,Cluster 0
4691.552139,Cluster 0
7497.231607,Cluster 0
15834.11317,Cluster 0
15908.036,Cluster 0
16033.97117,Cluster 0
14855.95102,Cluster 0
8316.311102,Cluster 0
18434.09915,Cluster 0
14018.34987,Cluster 0
7003.095703,Cluster 0
5997.6902,Cluster 0
13735.43874,Cluster 0
15823.03236,Cluster 0
14967.83963,Cluster 0
18210.0881,Cluster 0
15813.96457,Cluster 0
13746.74544,Cluster 0
7232.825143,Cluster 0
15294.66151,Cluster 0
7819.393216,Cluster 0
6255.552641,Cluster 0
15995.16005,Cluster 0
14856.939,Cluster 0
16555.15938,Cluster 0
18516.45181,Cluster 0
0,Cluster 0
3290.829469,Cluster 0
12832.76872,Cluster 0
17091.90423,Cluster 0
4444.447684,Cluster 0
18615.63259,Cluster 0
14396.56828,Cluster 0
6710.574018,Cluster 0
6406.87713,Cluster 0
7451.994014,Cluster 0
17755.66494,Cluster 0
17739.7761,Cluster 0
14082.45824,Cluster 0
14355.31095,Cluster 0
15634.78829,Cluster 0
14503.41079,Cluster 0
5985.07703,Cluster 0
13755.4823,Cluster 0
2838.815821,Cluster 0
16157.73414,Cluster 0
8150.557439,Cluster 0
17775.22817,Cluster 0
4749.879237,Cluster 0
5880.814834,Cluster 0
16029.46921,Cluster 0
15365.85846,Cluster 0
16260.42103,Cluster 0
4077.658657,Cluster 0
14937.99517,Cluster 0
14624.31863,Cluster 0
15646.32172,Cluster 0
7806.39875,Cluster 0
16734.67275,Cluster 0
15230.34511,Cluster 0
14364.69339,Cluster 0
16539.36419,Cluster 0
8281.71874,Cluster 0
16616.08824,Cluster 0
6746.281084,Cluster 0
16971.18155,Cluster 0
16047.26833,Cluster 0
6609.918507,Cluster 0
16393.3957,Cluster 0
16945.32624,Cluster 0
5253.265007,Cluster 0
15063.3358,Cluster 0
17106.32591,Cluster 0
15881.2422,Cluster 0
14051.25652,Cluster 0
6833.507137,Cluster 0
5522.573424,Cluster 0
14265.35184,Cluster 0
5893.975285,Cluster 0
13765.686,Cluster 0
7696.832374,Cluster 0
5030.364839,Cluster 0
15607.06178,Cluster 0
15149.81042,Cluster 0
5590.447216,Cluster 0
14067.61779,Cluster 0
6828.709702,Cluster 0
6486.353873,Cluster 0
4550.799522,Cluster 0
16502.38948,Cluster 0
6089.478323,Cluster 0
14361.33498,Cluster 0
15634.31387,Cluster 0
15319.46766,Cluster 0
6732.096069,Cluster 0
17053.03011,Cluster 0
16873.12864,Cluster 0
14978.50214,Cluster 0
6544.847498,Cluster 0
6811.303236,Cluster 0
17366.18626,Cluster 0
15374.46595,Cluster 0
16046.08302,Cluster 0
16458.3981,Cluster 0
15485.15601,Cluster 0
7567.647652,Cluster 0
8302.588638,Cluster 0
14075.21737,Cluster 0
7145.251128,Cluster 0
15134.99423,Cluster 0
8857.849116,Cluster 0
15038.01075,Cluster 0
8090.70674,Cluster 0
17324.04511,Cluster 0
4126.226651,Cluster 0
16138.07937,Cluster 0
16022.48248,Cluster 0
4838.34835,Cluster 0
13347.55878,Cluster 0
15819.5776,Cluster 0
14175.16989,Cluster 0
6618.549336,Cluster 0
4206.287239,Cluster 0
7719.283633,Cluster 0
14117.44704,Cluster 0
3798.8404,Cluster 0
14924.53722,Cluster 0
5490.814956,Cluster 0
16828.41012,Cluster 0
15520.35578,Cluster 0
15104.49811,Cluster 0
5574.243677,Cluster 0
15352.52194,Cluster 0
17130.8561,Cluster 0
17275.66131,Cluster 0
4420.445821,Cluster 0
6926.123598,Cluster 0
14310.54621,Cluster 0
7262.108723,Cluster 0
4688.657157,Cluster 0
7543.542802,Cluster 0
5956.555677,Cluster 0
15592.99153,Cluster 0
14431.6528,Cluster 0
14895.47348,Cluster 0
6971.164886,Cluster 0
6491.77115,Cluster 0
9024.337461,Cluster 0
15215.28126,Cluster 0
16696.39866,Cluster 0
16524.90254,Cluster 0
16837.20596,Cluster 0
15924.07171,Cluster 0
4371.234733,Cluster 0
15341.38111,Cluster 0
14928.1656,Cluster 0
16563.37259,Cluster 0
7286.754751,Cluster 0
17348.59988,Cluster 0
6296.417311,Cluster 0
2839.786357,Cluster 0
16316.84291,Cluster 0
4914.117127,Cluster 0
14936.77539,Cluster 0
17969.69377,Cluster 0
16091.40195,Cluster 0
14386.35188,Cluster 0
6559.829923,Cluster 3
16869.50713,Cluster 2
18086.28716,Cluster 2
13407.08139,Cluster 4
16180.68808,Cluster 2
14264.47385,Cluster 1
15407.64676,Cluster 5
17472.47069,Cluster 1
13929.62155,Cluster 4
18149.03587,Cluster 2
15226.61413,Cluster 4
16141.04898,Cluster 5
17986.61864,Cluster 5
16131.26766,Cluster 2
17266.04573,Cluster 5
7259.540922,Cluster 3
14004.61374,Cluster 4
19047.77234,Cluster 5
8148.491848,Cluster 3
15903.55836,Cluster 2
15232.59807,Cluster 1
5330.7399,Cluster 3
7101.674514,Cluster 3
6669.033518,Cluster 3
16178.20472,Cluster 4
16293.03833,Cluster 1
14406.56125,Cluster 4
17105.79393,Cluster 1
15530.93413,Cluster 1
18794.48817,Cluster 5
17326.17561,Cluster 1
15693.49957,Cluster 4
7390.577293,Cluster 3
15324.28741,Cluster 5
14580.61348,Cluster 4
16698.62104,Cluster 1
16725.84185,Cluster 1
3071.944576,Cluster 4
15637.59765,Cluster 2
7162.739043,Cluster 3
17789.24752,Cluster 2
6673.909711,Cluster 3
18868.24161,Cluster 1
15738.8593,Cluster 2
13209.30161,Cluster 4
6335.97832,Cluster 3
5742.524488,Cluster 3
5290.087044,Cluster 3
13953.02972,Cluster 4
17172.6094,Cluster 5
14297.70223,Cluster 4
15061.77622,Cluster 1
16715.16002,Cluster 1
16501.46878,Cluster 5
15260.63555,Cluster 1
16711.06798,Cluster 1
13856.80583,Cluster 4
16182.83844,Cluster 2
17292.7331,Cluster 5
14789.14848,Cluster 2
6681.984386,Cluster 3
13316.76729,Cluster 4
15238.119,Cluster 2
16529.20081,Cluster 1
14035.91755,Cluster 1
